Q,Bz,Ex,Ey,particle,x,vx,y,vy
6.342942791943549e-11,-8.651715576145012e-06,-23967.06308207454,2164.5447287704164,0,0.9932663264121647,55.8013271568961,0.5897615604923651,1.5965136662044197
9.803472399554184e-11,-9.111710745992418e-06,-23865.280650221466,2160.7895928411917,1,0.9952823536544313,46.94707963970397,0.5684784684825709,2.0183117156236445
1.8958796992409033e-10,-8.980491957765238e-06,-25597.40609092812,2283.4352443051375,0,0.9897452630632231,56.2348517038963,0.5255412120110957,1.3705278901219637
9.000028822502527e-11,-9.204237211682423e-06,-28008.852030616312,2215.7083475168743,1,0.9906121714093924,49.039797444158594,0.4929136267608412,2.0612833236653585
5.576424042744304e-11,-1.0550100030032091e-05,-26353.518523637915,2067.43255775845,1,0.9992180985665565,47.132745507103564,0.6315833648533715,2.9975096444196656
9.747121634540411e-11,-9.773509436131901e-06,-25092.5616655494,2329.4613422683465,1,0.9984385915880993,50.940424944446846,0.5141572276859997,1.2398070962313352
2.6880080421422536e-12,-8.934693557640663e-06,-24613.850198802098,2229.666132831676,1,0.9973396571556982,48.889190312416645,0.5152467865452245,1.5460047321480437
8.707395910720066e-11,-1.0064075917363684e-05,-23577.79218052457,2013.721116135555,1,0.9910384538044985,45.04698296118987,0.5129144419638862,1.564666606804989
-3.4047222500590824e-11,-1.0359287897992427e-05,-26118.152382766068,2214.88723167505,1,0.9914111092962831,47.21016984602301,0.5233428958191131,1.9639420991659609
1.089624421916059e-10,-1.0671140244158543e-05,-24861.293566211145,2244.426484454105,0,0.9978529967896398,57.347617602380865,0.5595110705782501,2.3171864129507393
1.0899808049020101e-10,-1.1202663081829406e-05,-24731.78427474997,2415.2885039813746,0,0.9945857493618632,47.36077403794466,0.48293457926310945,1.0853398161162584
5.0996016666729907e-11,-1.093705425712633e-05,-25714.25705815301,2214.439749355025,0,0.9891773939479946,54.350245228263084,0.569058573431292,1.4625572897526185
6.398017953743961e-11,-1.1831341021797668e-05,-27031.47453686531,2317.741560940918,1,0.9967738606432268,49.838438157438794,0.464978218820669,1.7710734425565626
9.563616504444985e-11,-9.303968083689308e-06,-23988.42096084423,2190.8197582361554,1,0.9954362474415367,51.31032909802511,0.47668490591937523,1.8893008274788126
1.0111972889778662e-10,-7.937952389255891e-06,-24004.848284396467,2327.3269036782453,1,0.9999469751485872,45.86864875733423,0.5739641192088192,2.4306377020993515
9.637290844670865e-11,-8.818326402819575e-06,-24733.048497702348,2196.9153859695216,1,0.9930154741652603,45.13685451359499,0.573868926368637,2.091665296219389
7.02729067273986e-11,-9.920263812592863e-06,-24716.66349867994,1951.3958024545989,1,0.9976220001951503,49.38707731557706,0.5585076635429367,0.8581251238397404
1.9383134129879888e-11,-1.1684734215403761e-05,-23665.461582557313,2116.865760555375,1,0.9934597869688833,47.76242310593779,0.5050894661930219,1.0791999488552346
7.068689865310739e-11,-1.094699493264732e-05,-24130.573455941074,2273.457326645394,1,0.9993619842784998,49.9678576273333,0.5956627614506247,2.834010710922855
2.2609760485075627e-11,-9.252594530604774e-06,-24411.551304178127,2184.8222960853886,1,0.9975434651841325,52.502240201158315,0.5188842232031377,1.6231390965957757
1.2605557251298545e-10,-8.159092716873414e-06,-23411.229834496826,1996.4935060024886,0,0.9899836890303768,53.80297098637978,0.4735102450372318,0.9285907434056603
1.434130418584291e-10,-1.0972847093747641e-05,-21624.709016338325,2216.0627381199756,1,0.9931493607876808,51.72615954830306,0.5280830004131557,0.6919249216055571
1.1285382912005501e-10,-7.101974256297855e-06,-22763.89618677183,2252.70556691417,0,0.9992841881578537,56.77722144790106,0.5227875471877521,2.373241742735256
1.0049687793027667e-10,-1.0257272612822863e-05,-25168.746051204536,2104.5916245093454,1,0.9960856658689808,44.86827299615263,0.44650810388144935,1.6917635273949572
6.579889253648501e-11,-1.0297637464850483e-05,-22506.98606156788,2154.5710623276314,0,0.9960248196022834,54.13158801540983,0.5063264891238028,1.5222754093361281
1.4213576213249391e-11,-1.0107180782803463e-05,-28115.43233730471,2071.659654700201,1,0.9927056167677684,52.803466898640735,0.5304752194139679,2.0307862409116915
1.139183478055978e-10,-1.0931914575798879e-05,-22920.65787657081,2080.5213708523115,0,0.9967546272708993,60.04512094498252,0.45818244463421537,0.6817176028056837
1.6483586035253154e-10,-1.0375874709537086e-05,-19490.57529478825,2349.412487429794,1,0.9914520449167809,50.07298191791896,0.6344623864031326,1.8411666068412773
9.55451914786558e-11,-1.017410294430455e-05,-24154.745933751838,2351.76267598451,0,0.9995951088323812,50.48427422227813,0.43735763255645443,0.4723658573214032
9.169575396560553e-11,-1.1767247145221705e-05,-26074.390767306853,2073.7294780425977,1,0.9944723163821878,47.81092787232968,0.5603430498829589,1.2124503956156814
6.849479056079713e-11,-1.0692096263699152e-05,-27176.7056194533,2098.203104697464,0,0.9900650716756523,51.56564851176294,0.5319988041802248,1.1115713030021532
1.231606857137298e-10,-8.687301362802667e-06,-23640.72023301174,2201.804006432286,0,0.9943856189206622,56.49857667436983,0.5370794312522684,1.526337257566161
6.503223474274494e-11,-1.0621703471804126e-05,-24852.26399859178,2312.1818719056614,1,0.9966191065204647,45.30039300374402,0.6096069347710318,1.940498246379122
3.983553314770967e-11,-7.024729031715105e-06,-20408.437215826587,2257.706511557073,1,0.9996169866801602,51.00077529238505,0.6087604337941153,2.508698611516091
7.416508015211043e-11,-9.879466619815844e-06,-25483.84073357923,2186.125320880219,0,0.9900965126709999,50.514830302884484,0.47765647591267585,1.3181035663344236
8.751048848824062e-11,-1.135131873768081e-05,-26733.5183327686,2118.684540184254,0,0.9923620963721275,51.68507126708523,0.4860842260942083,0.3253261257771672
1.1717829283941627e-10,-9.783277845081003e-06,-27132.907214232386,2078.5298784072515,0,0.9967840248960936,55.37649038383828,0.4510455872771955,2.0889202126954256
9.617290210995819e-11,-8.844050776994663e-06,-26089.099684328954,2238.710441026867,1,0.997937124477406,46.63242914294216,0.5592827956628175,1.2110161480746107
5.606720821381379e-11,-1.0574882913405719e-05,-27404.001392972685,2389.725351156157,0,0.9991772132361124,53.14749409733528,0.5710683207599144,1.310961658518181
1.0374612137537889e-10,-9.8398739563567e-06,-22826.12197644453,2191.3806033707833,0,0.9965043547113529,49.824817570421025,0.4783812032540099,1.5058379935391923
7.211082304410106e-11,-1.042893701324726e-05,-28937.339824114544,2044.3499662975028,1,0.9962602705476591,46.12284454868492,0.6103132079753516,3.504602361136874
9.695409519152715e-11,-7.81048444853819e-06,-27345.17136555709,2247.2338120552977,0,0.9895238072826649,57.53017901735742,0.530457703244639,0.8594223222666264
3.7986290406385305e-11,-1.0168713010820036e-05,-27510.16514451085,2285.1556727524453,1,0.991148003637724,48.11386252414859,0.6640937334463877,1.6571631873657688
9.40906422549669e-11,-1.044765455085717e-05,-23415.87213202716,2401.8265201155014,1,0.9905271851768714,50.53680282993983,0.5180556871661396,2.53087626248532
7.358266331363947e-11,-1.2160386139461449e-05,-30130.85209696014,2129.1616708593565,0,0.9919103954473721,57.006154898604926,0.4796251560601001,0.9513671983927071
1.3745587723563845e-10,-1.0852623406195747e-05,-27070.9558764135,2002.4548987518642,1,0.9955486454438212,46.95949028577888,0.5841563909591747,1.7248445334325428
1.1060937576745808e-10,-9.31749302976414e-06,-26402.283960330307,2213.792072925112,0,0.999530315823339,54.918870119490954,0.4991457283762693,0.5456388000669209
9.691038628778394e-11,-8.990295646472012e-06,-25892.410821719386,2294.9430785652376,0,0.9987067386897741,56.74445139228318,0.5755610223712491,2.304214780753465
9.154214998581316e-11,-1.131695312151164e-05,-26974.114020551948,2282.6071780612288,1,0.9902700336977402,51.04459449361039,0.5580768518561133,1.570388569322885
4.838889010394233e-11,-1.271796038285002e-05,-22719.495869463477,2200.020441125236,1,0.9954726241829243,50.789307238952205,0.5258526488817131,1.9602889736253752
1.5126489144777025e-10,-1.133519618377328e-05,-23232.437436919,2372.079019371079,0,0.9988554502700069,57.40499280405628,0.5201141072973504,1.464114015062168
4.9169281682570987e-11,-8.93314212923705e-06,-23692.620481160902,2174.320151510215,0,0.9982758016079856,50.41772392565319,0.5631305649050229,2.165987307109524
9.031225118192569e-11,-9.839520104900742e-06,-24457.80213875948,2138.455747869798,0,0.9899956517937583,50.50973058984588,0.5330752194437526,1.8596312432496789
1.1172281600320386e-10,-9.223267751550633e-06,-23167.863454596634,1981.8859892439277,1,0.995052539204824,50.25490773037018,0.5540354688197721,0.9737481376011288
